epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1348.5,0.2361,0.23303,0.19193,0.89241,0.90244,0.95,0.95823,0.94965,0.90244,0.95,0.95823,0.94096,0.24025,0.36384,0.38461,0.85214,0.000577782,0.000577782,0.000577782
68,1367.89,0.23952,0.2165,0.19458,0.89748,0.91169,0.9,0.93752,0.9327,0.91169,0.9,0.93752,0.91568,0.21891,0.32006,0.46434,0.82435,0.000561279,0.000561279,0.000561279
69,1387.46,0.22916,0.20915,0.18539,0.89406,0.94802,0.95,0.93937,0.92564,0.94802,0.95,0.93937,0.91927,0.23798,0.31546,0.42079,0.82853,0.000544776,0.000544776,0.000544776
70,1407.1,0.22971,0.22176,0.18518,0.8941,0.93148,0.95,0.96846,0.96457,0.93148,0.95,0.96846,0.95219,0.22202,0.31104,0.3362,0.82643,0.000528272,0.000528272,0.000528272
71,1426.76,0.21745,0.20996,0.17408,0.89351,0.90208,0.95,0.96723,0.96271,0.90208,0.95,0.96723,0.94325,0.21365,0.32996,0.37597,0.81436,0.000511769,0.000511769,0.000511769
72,1446.26,0.22177,0.21077,0.17784,0.88852,0.87908,0.95,0.94314,0.92055,0.87908,0.95,0.94314,0.91389,0.23782,0.29961,0.52477,0.83802,0.000495266,0.000495266,0.000495266
73,1465.74,0.21688,0.21302,0.17396,0.88771,0.94966,0.94346,0.94806,0.93709,0.94966,0.94346,0.94806,0.9333,0.24031,0.29551,0.44484,0.84429,0.000478762,0.000478762,0.000478762
74,1485.25,0.2172,0.20113,0.17657,0.8912,0.9472,0.95,0.9464,0.94186,0.9472,0.95,0.9464,0.92946,0.20788,0.27604,0.39916,0.8236,0.000462259,0.000462259,0.000462259
75,1505.09,0.22119,0.21333,0.17776,0.8894,0.90426,0.94472,0.93369,0.92815,0.90426,0.94472,0.93369,0.91008,0.22103,0.32174,0.47357,0.81298,0.000445756,0.000445756,0.000445756
76,1524.45,0.21855,0.20123,0.17325,0.89001,0.90459,0.94822,0.9402,0.9365,0.90459,0.94822,0.9402,0.92438,0.24623,0.36066,0.53141,0.83789,0.000429253,0.000429253,0.000429253
77,1543.98,0.21131,0.19686,0.1706,0.88466,0.92108,0.9,0.94659,0.90461,0.92108,0.9,0.94659,0.88851,0.32935,0.36156,0.56407,0.94967,0.000412749,0.000412749,0.000412749
78,1563.43,0.21302,0.20199,0.17009,0.88482,0.9488,0.95,0.95096,0.93165,0.9488,0.95,0.95096,0.93253,0.25317,0.40006,0.47973,0.88629,0.000396246,0.000396246,0.000396246
